,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,distance,priceByArea,hasPlan,has360,hasVideo,description,hasLift,parkingSpace_included_in_listing,municipality,floor,floor_grouped,municipality_grouped
201,10,730.0,studio,45.0,False,0,1,854,16.22222222222222,False,False,False,"Estudio reformado de 45m2 con salón, cocina totalmente amueblada y equipada, 1 baño, calefacción eléctrica, armarios empotrados, suelos de parquet. Piso interior luminoso, sin amueblar. Gastos de comunidad incluidos. Finca con ascensor. No se aceptan animales. Cercano al metro ""Sevilla"" (L2).",True,False,Madrid,unknown,nan,Madrid
202,13,620.0,flat,75.0,True,3,1,21044,8.266666666666667,False,False,False,"Preciosa vivienda reformada en Parla, compuesta por 3 amplios dormitorios, 1 baño completo, con ascensor, cocina amueblada y equipada, terraza de 5 metros, ventanas de climalit, suelos de tarima. No se admiten animales. Gastos de comunidad incluidos.",True,False,Parla,unknown,nan,Other
203,16,695.0,flat,67.0,True,2,1,16111,10.373134328358208,False,False,False,"Piso de 67 m2, con 2 habitaciones, salón independiente, cocina amueblada y equipada, 1 baño, calefacción individual de gas natural, armarios empotrados, exterior y totalmente amueblado para entrar a vivir. Gastos de comunidad incluidos en el precio de la renta. Muy bien comunicado. Cercano a todo tipo de servicios y comercios. Animales a consultar.",False,False,Fuenlabrada,unknown,nan,Other
204,17,650.0,flat,95.0,True,3,1,29884,6.842105263157895,False,False,False,"Piso de 95m2, con 3 habitaciones, amplio salón-comedor con acceso a terraza, cocina amueblada y equipada con electrodomésticos, acceso a tendedero, 1 baño completo, calefacción individual de gas natural, exterior y sin amueblar. Gastos de comunidad incluidos en el precio de la renta. Zona muy tranquila, con todos los servicios y bien comunicada. No admite animales.",True,False,Navalcarnero,unknown,nan,Other
205,11,675.0,flat,68.0,True,2,1,30461,9.926470588235292,False,False,False,"vivienda de 65 m2 con 2 habitaciones, salón independiente, cocina totalmente Equipada, 1 baño, armarios empotrados, calefacción Individual, exterior, Amueblado, finca con ascensor. Gastos de comunidad y agua incluidos.",True,False,Alcalá de Henares,unknown,nan,Other
206,20,695.0,flat,65.0,True,2,1,8484,10.692307692307692,False,False,False,"Piso reformado de 70m2, dispone de 2 dormitorios, salón con acceso a terraza de 7m2, cocina amueblada y equipada, 1 baño, calefacción individual eléctrica, aire acondicionado, armarios empotrados. Piso exterior muy luminoso y sin amueblar. Gastos de comunidad incluidos. Situado en zona comercial con todos los servicios, a 2 minutos andando a Metro ""San Cipriano"" (L9). No se aceptan animales.",False,False,Madrid,unknown,nan,Madrid
207,12,750.0,flat,111.0,True,2,2,20583,6.756756756756757,False,False,False,"Mr. House Real Estate ALQUILA PISO EN PLENO CENTRO DE PARLA! Se trata de una vivienda exterior de unos 90m2 distribuida en 2 amplios dormitorios, 2 baños completos, zona de vestidor en dormitorio principal, salón-comedor y amplia cocina con salida a tendedero. PLAZA DE GARAJE INCLUIDA EN PRECIO (NO incluye trastero). La vivienda está equipada con calefacción de gas natural, suelos de tarima, armarios empotrados.. . La finca se encuentra cercana a todo tipo de servicios (RENFE, paradas de bus, comercios, tranvía, etc)  SOLICITA MÁS INFORMACIÓN SIN COMPROMISO! Será requisito indispensable para el alquiler aportar las 3 últimas nóminas, contrato de trabajo indefinido y que la renta no supere el 35% de las ganancias mensuales.",True,False,Parla,6.0,4,Other
208,16,675.0,flat,35.0,False,1,1,1016,19.285714285714285,True,True,True,"Magnifico estudio ubicado en el barrio de la latina, un barrio céntrico con muy buena comunicación con el resto de Madrid, un barrio tranquilo y joven, y con buen ocio Dispone de un dormitorio con armario empotrado y cama doble, un baño completo con bañera y bidé, salón, cocina equipada con todos los electrodomésticos, etc. Zona bien comunicada tanto por transporte publico",False,False,Madrid,unknown,nan,Madrid
210,21,690.0,flat,85.0,True,2,1,20804,8.117647058823529,False,False,False,"Estupenda vivienda de 85m2, consta de 2 habitaciones, amplio salón paso con acceso a una terraza de 3m2, cocina amueblada y equipada, 1 baño completo, armarios empotrados, calefacción Individual, bomba de frio y calor, exterior. Amueblado, finca con ascensor. Gastos de comunidad incluidos en la renta. No se aceptan animales.",True,False,Parla,unknown,nan,Other
211,14,750.0,flat,45.0,False,1,1,5089,16.666666666666668,True,False,False,"Se alquila vivienda de 45 m2 (38m2 útiles) según catastro con un dormitorio, cuarto de baño completo, salón y cocina independiente totalmente equipada con los electrodomésticos. Dispone de suelos de gres, aire acondicionado, armarios, patio de uso privativo y calefacción individual por bomba de calor. La vivienda está reformada y se alquila amueblada. Finca sin ascensor. Esta vivienda será gestionada integralmente a través de la Agencia Negociadora del Alquiler, empresa líder en la gestión del alquiler de viviendas de la Comunidad de Madrid, que se encargará de intentar solucionar y gestionar a los inquilinos cualquier tipo de incidencia (no imputable a ellos) que pueda surgir durante la duración del arrendamiento. También se encargará de tramitar el depósito de la fianza entregada por los inquilinos en la Agencia Social de la Vivienda de la Comunidad de Madrid.  ÚNETE AL TRANQUILER!  Gastos de Comunidad incluidos en la renta. En función de la documentación aportada, podrán aumentar las garantías económicas que se soliciten. Los honorarios por la gestión de la Agencia Negociadora del Alquiler son de una mensualidad de renta + el 21% de IVA.",False,False,Madrid,0.0,0.0,Madrid
213,21,600.0,studio,32.0,True,0,1,6325,18.75,False,False,False,"Precioso estudio junto a Arturo Soria, en edificio con portero físico, gran jardín privado (muy cuidado), ascensor y servicio de citibox. La vivienda tiene muchísima luz, gracias a sus dos amplias ventanas. Dispone de un enorme armario empotrado de tres cuerpos grandes. Cocina con gran capacidad de almacenaje. Puerta blindada. Calefacción central (de consumo individual), y aire acondicionado por bomba de calor. Se ofrece tanto vacío, como amueblado. No se admiten mascotas. Por favor, interesados dejen número de teléfono para poder contactar. Gracias.",True,False,Madrid,1.0,1.0,Madrid
215,28,723.0,studio,25.0,True,0,1,16775,28.92,True,False,True,"SIN COMISIONES DE AGENCIA. TODO INCLUIDO Calle Beatriz Galindo, 12, 28521, Rivas-Vaciamadrid, Madrid. Be Casa es el nuevo concepto de alquiler que ofrece la flexibilidad que muchas personas llevaban tiempo demandando. Aquí puedes vivir como quieras y el tiempo que quieras, con la intimidad de un apartamento, los servicios de un hotel y unas zonas comunes para además de vivir, convivir. La flexibilidad de sentirte en la intimidad de tu propio apartamento, de quedarte solo el tiempo que necesites, de poder organizar una barbacoa, refrescarte en la piscina, montar una reunión de trabajo, descansar un rato o invitar a cenar a tus amigos sin salir de Be Casa. La flexibilidad de saber que lo tienes todo incluido en el precio para que no tengas que preocuparte por nada: ni por la factura de la luz o el agua, ni por la limpieza y el cambio de lencería, ni por buscar un sitio donde poder hacer todo lo que te permiten nuestras zonas comunes. Be Casa Rivas es un innovador complejo con 847 estudios y apartamentos de 1 y 2 dormitorios. Cuenta con una gran oferta de zonas comunes: gimnasio, calistenia/crossfit, piscina, club social, coworking, cafetería, pet spa, parking, azoteas con barbacoas, parking y taller de bicicletas, lavandería y zonas verdes. El precio lo incluye todo: tu apartamento, gastos de suministros, WiFi, limpieza y servicio de cambio de sábanas y toallas periódica, acceso a todas las zonas comunes, plaza de parking (para estancias superiores a dos meses), servicio de recepción, seguridad, recepción de paquetería, mantenimiento, etc. Nuestro objetivo es que vivas bien. Todos nuestros apartamentos han sido diseñados por nuestro equipo de interioristas y están completamente amueblados y equipados. Además, somos pet friendly y admitimos mascotas. Be Casa Rivas está en una ubicación inmejorable, con acceso directo a la R-3, A-3 y M-50, y está a un paso de varias paradas de autobús y del Metro Rivas Futura. Tienes la línea 9 de Metro y la línea 331 de autobús interurbano que te llevarán al centro de la capital en cuestión de minutos. Si prefieres pasar el día en Rivas-Vaciamadrid, también tienes la línea 1 de autobús que te conecta de norte a sur con la localidad. En la zona encontrarás todo el ocio, servicios y lo que necesitas para tu día a día: centros educacionales públicos, como el Colegio Público Hans Christian Andersen o el IES Antares, varias zonas deportivas, el Parque del Sureste, áreas comerciales como el Centro H2O o instalaciones culturales como el Auditorio de Miguel Ríos. Los espacios de Be Casa Rivas han sido diseñados para percibirlos desde los cinco sentidos. Destacan por ser diseños sofisticados, flexibles y colaborativos. El uso de materiales auténticos y la tradición y artesanía como enfoque de la sostenibilidad.  Son diseños que simulan lo natural y orgánico que aportan confort y visten el espacio con colores de la naturaleza. El bienestar del planeta nos importa tanto como el tuyo, y por eso el edificio Be Casa Rivas cuenta con las más estrictas certificaciones ambientales, como BREEAM, e incorpora materiales sostenibles, además de zonas de aparcamiento de bicicletas para fomentar la movilidad verde. ¡Ven a conocernos! Be Casa. Live Flexible.",True,True,Rivas-Vaciamadrid,unknown,nan,Other
220,29,725.0,flat,50.0,True,1,1,10503,14.5,True,False,False,"Vivienda de un dormitorio amueblada incluye plaza de garaje, consumo de agua y gastos de comunidad.  Dormitorio con cama de 135 cm y armario empotrado.  Baño amplio completo con bañera y bidé.  Salón comedor con ventana mirador.  Cocina independiente amueblada y con electrodomésticos. Dispone de ventana pasa-platos al salón. Electrodomésticos: termo eléctrico de 100L, nevera 140cm (con congelador en la parte superior), horno, vitrocerámica de dos fuegos, lavavajillas, lavadora y microondas. Plaza de garaje de acceso directo al edificio. Aire acondicionado y bomba de calor. Suministros de la vivienda son agua y luz. No hay gas. Agua incluida.  Urbanización: Piscina grande con césped. Gimnasio. Pista de paddle. Servicio de portería 24 horas. Amplia con zonas ajardinadas.  Condiciones:  NO SE ACEPTAN MASCOTAS.  Contrato por un mínimo de 4 meses, se puede renovar. Se requiere contrato de trabajo y las dos últimas nóminas. Reserva de 900€. Localización: Barrio Rejas. Junto a CC Plenilunio.  Parada autobús en la puerta. Línea 77. Acceso directo A2, M21 y M40. 28022 Distrito San Blas. Barrio Rejas.",True,True,Madrid,1.0,1.0,Madrid
221,16,750.0,flat,67.0,True,3,1,11657,11.194029850746269,True,True,True,"C. R. HOMES INMOBILIARIA alquila acogedor PISO DE 67m2 CON 3 DORMITORIOS, BAÑO EN GETAFE-AVENIDA DE ESPAÑA Vivienda en planta BAJA (con altura de primero), LUMINOSA de 67m2 con orientación NORESTE compuesta de 3 DORMITORIOS completos, SALÓN-COMEDOR, COCINA AMUEBLADA y 1 BAÑO completamente equipado con PLATO DE DUCHA. La vivienda dispone de",False,False,Getafe,unknown,nan,Other
222,16,600.0,flat,45.0,True,2,1,41003,13.333333333333334,True,True,True,"¡ BONITO PISO BAJ0 CON PATIO DE 10 M2! Piso bajo de 40 m2 útiles con un patio interior de 10 m2. Salón, cocina completamente amueblada con electrodomésticos, dos dormitorios con armarios empotrados, cuarto de baño y un patio que sale del dormitorio principal. El piso tiene plaza de garaje y trastero de unos 3,5 m2. en el mismo edificio. Ventanas de PVC doble climalit, suelo de gres, puertas de roble y calefacción de gas natural. Para acceder a la vivienda desde la calle hay cuatro peldaños. Edificio del año 2008, ubicado en el centro del pueblo al lado de todos los servicios. Para entrar a vivir se pasará seguro de impago, gente con ingresos demostrables.  Se pide un mes de fianza, el mes en curso y mes de agencia. En GRUPO CASA 10, contamos con un grupo de profesionales con experiencia en el sector, que le ayudamos a encontrar la financiación mas rentable haciéndole un asesoramiento personalizado y buscando las mejores soluciones financieras.  Hacemos presupuesto de reforma y construcción sin coste y al mejor precio final con fecha de finalización por escrito.  Llámanos para cualquier duda sin compromiso Grupocasa10. Mataelpino",False,False,Mataelpino,unknown,nan,Other
223,42,750.0,flat,70.0,True,3,1,14642,10.714285714285714,False,False,False,"REF7675. Piso de 70m2. Dispone de 3 dormitorios, salón comedor y cocina amueblada y equipada y 1 cuarto de baño completo Calefacción individual de gas natural, suelos de tarima. Piso exterior y no amueblado. Gastos de comunidad incluidos en el precio. Zona comercial con todos los servicios, Metro más cercano San Fernando (L7).  Nuestras condiciones son: 1 mes de fianza, 1 mes de depósito de garantías, 1 mes de honorarios y el mes corriente. Tanto la fianza como las garantías se devuelven a la finalización del contrato. Pedimos contrato de trabajo y nóminas.",False,False,San Fernando de Henares,2.0,2.0,Other
224,6,450.0,penthouse,60.0,True,1,1,53238,7.5,False,False,False,"Magnífico piso de obra nueva de 60m2. Dispone de 1 habitación, salón independiente, cocina totalmente amueblada y equipada, 1 baño completo, 1 aseo, armarios empotrados, aire acondicionado frío/calor. Es una vivienda exterior muy luminosa y amueblada. Dispone de terraza y balcón. Finca sin ascensor. Zona residencial con todos los servicios. Gastos de comunidad incluidos. No se aceptan animales.",False,False,Villa del Prado,unknown,nan,Other
226,27,720.0,flat,54.0,True,1,1,3296,13.333333333333334,True,True,True,"PROMOCIÓN SEPTIEMBRE: 1 MES DE ALQUILER GRATIS si reservas antes del 30 de Septiembre. Y además, ¡sin comisiones de agencia! Loft de 54,00 m2 aproximadamente, se encuentra en el municipio y provincia de Madrid. La vivienda de 2 alturas que se distribuye en: un dormitorio, un cuarto de baño, amplio salón-comedor con cocina amueblada y equipada con horno y vitrocerámica. Se ubica en la planta baja de un edificio de dos plantas sobre rasante, el cual no dispone de ascensor. En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, amplias zonas verdes, etc. Además, el municipio dispone de todo tipo de transporte público como autobuses, estación de tren, metro, aeropuerto, etc. Dispone de buenas conexiones con todo tipo de carreteras, nacional, comarcal, local, autovías y autopista. *Promoción válida para contratos firmados antes de 30 de Septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en webs y portales con detalle promocional de campaña identificado en descriptivo del anuncio.",False,False,Madrid,0.0,0.0,Madrid
227,8,550.0,penthouse,75.0,True,2,2,53247,7.333333333333333,False,False,False,"Magnífico piso de obra nueva de 75m2. Dispone de 2 habitaciones, salón independiente, 2 terrazas, 2 balcones, cocina totalmente amueblada y equipada, 2 baños completos, 1 aseo, armarios empotrados, aire acondicionado frío/calor. Es una vivienda exterior muy luminosa y amueblada. Finca sin ascensor. Zona residencial con todos los servicios. Gastos de comunidad incluidos. No se aceptan animales.",False,False,Villa del Prado,unknown,nan,Other
228,30,720.0,flat,49.0,False,3,1,8411,14.693877551020408,True,True,True,"PROMOCIÓN SEPTIEMBRE: 1 MES DE ALQUILER GRATIS si reservas antes del 30 de Septiembre. Y además, ¡sin comisiones de agencia! Excelente piso de aproximadamente 49,08 m² ubicado en el barrio de San Cristóbal, municipio y provincia de Madrid. La vivienda se distribuye en: un luminoso salón-comedor, tres dormitorios, un cuarto de baño, cocina equipada y recibidor. La cocina se encuentra totalmente amueblada con muebles altos y bajos, está semi-equipada con vitrocerámica, campana extractora y horno, no tiene frigorífico ni lavadora. Se encuentra en la tercera planta de un edificio plurifamiliar de cinco plantas sobre rasante, el cual no dispone de ascensor. La vivienda se encuentra en buen estado de conservación. Las viviendas del entorno corresponden a edificios plurifamiliares de similares características, teniendo el barrio carácter urbano consolidado. Entorno con equipamientos completos cercanos: médico-sanitario, docente, religioso, comercial, zonas verdes, deportivas, centros comerciales, etc. Comunicaciones completas con el resto de la provincia por carreteras y autopistas, servicios de ferrocarriles, autobuses interurbanos. Buenas comunicaciones con el resto de la ciudad, con paradas próximas autobuses urbanos interurbanos. A 21,7 km aproximadamente del Aeropuerto de Madrid-Barajas Adolfo Suarez. *Promoción válida para contratos firmados antes de 30 de Septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en webs y portales con detalle promocional de campaña identificado en descriptivo del anuncio.",False,False,Madrid,3.0,3.0,Madrid
229,38,740.0,flat,65.0,True,3,1,8443,11.384615384615383,False,False,False,"REF8679. Piso de 65m2 Dispone de 3 habitaciones, salón comedor, 1 baño, cocina amueblada y equipada con lavadora-frigorífico-vitrocerámica-campana-horno y microondas. Calefacción individual de gas natural y aire acondicionado con bomba frío/calor en el salón. Sofá cama en cuarto de estar. SE ENTREGA SEMIAMUEBLADO (sin camas) Finca con ascensor. Zona con todos los servicios, universidad, bancos, supermercados, colegios e institutos. Muy cerca del metro de ""San Cipriano"" (L-9). Autobuses de la EMT 4, 106, N-7, N-31 y N-44. Gastos de comunidad incluidos en el precio.  CONDICIONES: Nuestras condiciones son: 1 mes de fianza, 1 mes de depósito de garantías, 1 mes de honorarios y el mes corriente. Tanto la fianza como las garantías se devuelven a la finalización del contrato. Pedimos contrato de trabajo y nóminas. CLA.",True,False,Madrid,1.0,1.0,Madrid
230,72,660.0,flat,155.0,False,3,2,41119,4.258064516129032,True,True,True,"PROMOCIÓN SEPTIEMBRE: GRATIS Alta de Suministros si reservas antes del 31 de Septiembre. Y además, ¡Sin comisiones de agencia! Piso de tres dormitorios en la primera planta de un edificio de tres alturas sobre rasante, construido en 2005 y en perfecto estado de conservación, con ascensor y ubicada en el barrio La Montaña (Aranjuez), provincia de Madrid. La vivienda consta de unos 138 m2 construidos aproximadamente. Totalmente exterior. Está distribuida en amplio y luminoso salón-comedor con terraza, cocina independiente muy luminosa con muebles altos, bajos y semi-equipada (dispone de horno, placa vitrocerámica y campana extractora) con acceso a tendedero",False,False,Aranjuez,unknown,nan,Other
231,26,720.0,flat,56.0,False,2,1,6691,12.857142857142858,True,True,True,"PROMOCIÓN SEPTIEMBRE: 1 MES DE ALQUILER GRATIS si reservas antes del 30 de Septiembre. Y además, ¡sin comisiones de agencia! Piso situado en la cuarta planta de un edificio de seis plantas sobre rasante. No dispone de ascensor. Está situado en el barrio de Los Rosales, en la ciudad y provincia de Madrid. Tiene una superficie construida de 52 m2. La vivienda se distribuye en vestíbulo, salón- comedor, dos dormitorios, cocina amueblada y semi-equipada con vitrocerámica, horno, campana extractora, un baño y terraza cubierta. Los suelos de la vivienda son de gres, paredes de gotelé pintado, carpintería interior de madera pintada, ventanas exteriores de aluminio lacado en tono metalizado, cocina amueblada y cuarto de baño con sanitarios. Dispone de agua caliente. Se encuentra ubicada en una zona dotada de todos los servicios necesarios como son estaciones de metro, centros deportivos, comercios y supermercados. La ciudad dispone de aeropuerto internacional, estaciones de ferrocarril y una completa red de transporte urbano (autobuses y metro). *Promoción válida para contratos firmados antes de 30 de Septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en webs y portales con detalle promocional de campaña identificado en descriptivo del anuncio.",False,False,Madrid,4.0,4,Madrid
232,22,650.0,flat,31.0,False,1,1,1207,20.967741935483872,False,False,False,"La Casa Agency Lavapiés gestiona en exclusiva el alquiler de un piso interior en la calle Doctor Fourquet, en el barrio Lavapiés-Embajadores de Madrid Centro. Este inmueble ubicado en la tercera planta de una finca muy tranquila, se distribuye en: - Salón  - Cocina - Dormitorio con somier y un amplio armario - y cuarto de baño. A destacar que este piso en alquiler en la calle Doctor Fourquet está situado en una zona con una excelente comunicación. Ya que muy cerca se encuentran varias estaciones de Metro de Madrid y de Cercanías Renfe. Además, circulan por la misma varias líneas de autobuses de la EMT. Y existen varios aparcamientos en las proximidades, tanto públicos como para residentes. También dispone de acceso fácil y cómodo a las principales vías de salida y entrada a Madrid. Asimismo, el barrio de Lavapiés – Embajadores cuenta con una gran variedad de servicios sociales, de salud, educativos, financieros, gastronómicos, culturales y de ocio. Así como comerciales, con 2 mercados municipales, varios supermercados de las principales franquicias y múltiples comercios locales de proximidad con una gran variedad de productos. Se solicita: - DNI o NIE, - contrato de trabajo indefinido con al menos 1 año de antigüedad, - 3 últimas nóminas y - vida laboral actualizada. Y en caso de autónomos: - DNI o NIE, - última declaración de la renta, - 3 últimos pagos del IVA y - 3 últimos pagos del recibo de autónomos. A la firma del contrato se entregará: - mes en curso, - 1 mes de fianza - y mes de agencia (+ IVA). ¡Contáctanos: no dejes pasar esta oportunidad!",False,False,Madrid,3.0,3.0,Madrid
233,28,650.0,flat,96.0,True,2,1,43953,6.770833333333333,True,True,True,"PROMOCIÓN SEPTIEMBRE: 1 MES DE ALQUILER GRATIS si reservas antes del 30 de Septiembre. Y además, ¡sin comisiones de agencia! Piso de 2 dormitorios y un cuarto de baño, de 96,90 m2 aproximadamente, se encuentra en el municipio de Aranjuez, en la provincia de Madrid. La vivienda se distribuye en: 2 dormitorios con armarios empotrados, un cuarto de baño, salón-comedor y cocina amueblada y equipada con horno, vitrocerámica y campana extractora. Dispone de trastero y aire acondicionado. Se ubica en la planta tercera de un edificio plurifamiliar de tres plantas sobre rasante, el cual no dispone de ascensor. Zona consolidada con todo tipo de servicios tales como, sanitarios, educativos, restaurantes, supermercados, comercios, campo de golf, parques infantiles y grandes zonas verdes. Hospital del Tajo a escasos 6 minutos y el Palacio Real de Aranjuez a 4,8 km. Bien comunicada con diversas líneas de transporte púbico: Autobuses líneas L4 y 429 y líneas de cercanías C3 y C3A. Dispone de buenas conexiones con todo tipo de carreteras, nacional, comarcal, local y autovías. *Promoción válida para contratos firmados antes de 30 de Septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en webs y portales con detalle promocional de campaña identificado en descriptivo del anuncio.",False,False,Aranjuez,3.0,3.0,Other
234,29,660.0,flat,168.0,False,3,2,41221,3.928571428571429,True,True,True,"PROMOCIÓN SEPTIEMBRE: GRATIS Alta de Suministros si reservas antes del 31 de Septiembre. Y además, ¡Sin comisiones de agencia! Viviendas de cuatro dormitorios en la tercera planta de un edificio de tres alturas sobre rasante, construido en 2005 y en perfecto estado de conservación, con ascensor y ubicadas en el barrio de Ciudad Jardín (Aranjuez) provincia de Madrid. La vivienda consta de unos 151 m2 construidos aproximadamente. Totalmente exterior. Está distribuida en amplio y luminoso salón-comedor, cocina independiente muy luminosa con muebles altos, bajos y semi-equipada (dispone de horno, placa vitrocerámica y campana extractora), cuatro dormitorios (el principal con armario empotrado), dos cuarto de baño, lavadero y terraza. Cuenta con plaza de garaje y trastero. Dispone de suelos de gres en todas las estancias, cerramientos de aluminio blanco tipo Climalit, calefacción individual por gas natural. Zona consolidada con todo tipo de servicios y comercios. Hospital del Tajo a escasos 6 minutos, colegios, Campo de golf y grandes zonas verdes (conocido parque La Montaña a 5 min caminando). Bien comunicada con diversas líneas de transporte púbico: Autobuses líneas L4 y 429 y líneas de cercanías C3 y C3A. m². *Promoción válida para contratos firmados antes de 30 de Septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en webs y portales con detalle promocional de campaña identificado en descriptivo del anuncio.",True,True,Aranjuez,3.0,3.0,Other
235,19,690.0,flat,64.0,True,2,1,30634,10.78125,False,False,False,"Apartamento en planta baja, con acceso directo desde la calle Av. Lope de Figueroa. Zona dotada de todos los servicios (colegios, institutos, centro médico, C. C. El Val, galería Juan de Austria. etc), bien comunicada con bus urbano, Continental y Renfe.    Se alquila semi-amueblado. Consta de cocina independiente amueblada y equipada con electrodomésticos (Vitrocerámica, horno, campana, lavadora, frigorífico y microondas), salón, terraza cerrada de aluminio con 2 armarios que sirven para trastero, baño con plato de ducha y 2 dormitorios.  Suelos de tarima, carpintería interior lacada en blanco y exterior de aluminio con cristal climalit (rejas), calefacción eléctrica, aire acondicionado con bomba de calor en un dormitorio, agua caliente mediante termo eléctrico, 2 armarios empotrados en hall de entrada y pasillo de distribución.  Consumo de agua incluido en el precio. Sólo se paga gasto de luz.  No se admiten mascotas.  Se requiere solvencia económica por tramitar seguro de impago.",False,False,Alcalá de Henares,0.0,0.0,Other
236,24,750.0,studio,25.0,True,0,1,3177,30.0,True,False,False,"FOR RENT INMOBILIARIA OPORTUNIDAD! Estudio EXTERIOR en quinta planta, luminoso y tranquilo, frente al parque Eva Peron, compuesto de zona diáfana, cocina americana, equipada con electro domésticos nevera, lavadora, microondas, placa vitroceramica y campana extractora, armario empotrado de gran capacidad y cama, cuarto de baño con plato de ducha, ascensor. CALEFACCIÓN CENTRAL INCLUIDA EN LA RENTA.  Muy buena comunicación de transportes bus y metros LISTA ( L-4 ) MANUEL BECERRA ( L-2, L-6 ) DIEGO DE LEON ( L-4, L-5 y L-6 ). Zona muy comercial y gran variedad ocio-cultural, rodeado de todos los servicios. Próximo a "" IE "" INSTITUTO DE EMPRESA, HOSPITALES y UNIVERSIDADES. DISPONIBILIDAD INMEDIATA. Infórmate sin compromiso y agenda nuestros números: 672699621 - 607043807 también atendemos por whatsapp.",True,False,Madrid,5.0,4,Madrid
238,29,725.0,flat,45.0,True,1,1,10508,16.11111111111111,True,False,False,"Vivienda de un dormitorio amueblada con plaza de garaje.  Incluye consumo de agua y gastos de comunidad.  Dormitorio con cama de 135 cm y armario empotrado. Baño amplio completo con bañera y bidé.  Salón comedor amueblado con ventana mirador.  Cocina independiente amueblada y con electrodomésticos: nevera 140cm (con congelador independiente en la parte superior), horno, vitrocerámica de dos fuegos, lavavajillas, lavadora y microondas. Plaza de garaje de acceso directo al edificio. Aire acondicionado y bomba de calor. Suministros de la vivienda son agua y luz. No hay gas. Agua incluida.  Urbanización: Piscina grande con césped. Gimnasio. Pista de paddle. Servicio de portería 24 horas. Amplia con zonas ajardinadas.  NO SE ACEPTAN MASCOTAS.  Contrato por un mínimo de 4 meses, se puede renovar. Se requiere contrato de trabajo y las dos últimas nóminas y reserva de 900€. Junto al CC Plenilunio. A 5 minutos del aeropuerto. EMT Línea 77. Parada en la urbanización. Carreteras: A2, M21, M40, M45, M11. A 8 minutos de Avenida de América. Teléfono de contacto: 608544500.",True,True,Madrid,2.0,2.0,Madrid
239,31,620.0,flat,85.0,False,1,1,19767,7.294117647058823,True,True,True,"PROMOCIÓN SEPTIEMBRE: 1 MES DE ALQUILER GRATIS si reservas antes del 30 de Septiembre. Y además, ¡sin comisiones de agencia! Excelente piso de aproximadamente 59,65 m², se encuentra en el municipio de Pinto, provincia de Madrid. La vivienda se distribuye en: un dormitorio, un cuarto de baño, cocina equipada y luminoso salón comedor. Dispone de plaza de garaje. Se encuentra en la planta baja de un edificio de tres alturas sobre rasante y dos plantas sótano, el cual dispone de ascensor. La cocina cuenta con muebles altos y bajos, dispone de horno, placa vitrocerámica y campana extractora. Dispone de armario empotrado en el dormitorio y baño completo con bañera. Dispone de suelos de cerámica en toda la vivienda, cerramientos de aluminio, pintura lisa, termo para agua caliente y calefacción individual por energía eléctrica. Vivienda en perfecto estado de conservación orientada a las zonas comunes del edificio. Edificio con año de construcción aproximado 2007 situado en una zona consolidada con todo tipo de servicios y comercios a su alrededor. Colegios y grandes zonas verdes. Comunicaciones completas con el resto de la provincia por carreteras y autopistas, servicios de ferrocarriles (cercanías a tan sólo 5 minutos) autobuses interurbanos. Buenas comunicaciones con el resto de la ciudad, con paradas próximas de autobuses urbanos interurbanos. *Promoción válida para contratos firmados antes de 30 de Septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en webs y portales con detalle promocional de campaña identificado en descriptivo del anuncio.",True,True,Pinto,0.0,0.0,Other
240,25,590.0,flat,52.0,True,1,1,44526,11.346153846153848,False,False,False,"CAVALIER ALQUILA. Apartamento amueblado de 52m2 en planta baja con jardín de 100m2. Con 1 dormitorio, salón comedor de 24m2, baño y cocina. Dispone de cerramientos de PVC con Climalit, dos estufas de pellets y suelos cerámicos.    No se admiten mascotas.    La antigua casa de guardeses, en la planta baja de una villa de principios del siglo XX, se ha convertido en un refugio para descansar y disfrutar de su jardín privado a la sombra de su parra centenaria, rodeada de encinas y robles.    Sin problemas de aparcamiento, dejaras tu vehículo junto a la puerta peatonal de acceso y te olvidaras del coche, pues en tan solo 10 minutos andando estarás en el centro del pueblo y a 5 minutos de la estación de Cercanías Renfe. A solo 35 minutos en coche del centro de Madrid.    Se requiere acreditar ingresos vía nómina, contrato laboral en vigor o resumen de IVA anual, o en lugar de lo anterior, aportar aval bancario.    Es necesario abonar DOS mensualidades como fianza.    Los honorarios de intermediación que paga el arrendatario son de UNA mensualidad más IVA.",False,False,Los Molinos,0.0,0.0,Other
